abandoned,បោះបង់ចោល
spend,ចំណាយ
spending,ការចំណាយ
spent,បានចំណាយ
sphere,ស្វ៊ែរ
spice,គ្រឿងទេស
spider,សត្វពីងពាង
spies,ចារកម្ម
spin,បង្វិល
spine,ឆ្អឹងខ្នង
spirit,វិញ្ញាណ
spirits,វិញ្ញាណ
spiritual,ខាងវិញ្ញាណ
spirituality,ខាងវិញ្ញាណ
split,បំបែក
spoke,បាននិយាយ
spokesman,អ្នកនាំពាក្យ
sponsor,អ្នកឧបត្ថម្ភ
sponsored,ឧបត្ថម្ភ
sponsors,អ្នកឧបត្ថម្ភ
sponsorship,ការឧបត្ថម្ភ
sport,កីឡា
sporting,កីឡា
sports,កីឡា
spot,កន្លែង
spotlight,ភ្លើងបំភ្លឺ
spots,លេខចាប់ឲ្យត្រូវ
spouse,ប្រពន្ធឬប្តី
spray,បាញ់
spread,រីករាលដាល
spreading,ការរីករាលដាល
spring,និទាឃរដូវ
springer,រ៉ឺស័រ
springs,ទឹកហូរ
sprint,ការធ្វើផែនការSprint
spy,ចារកម្ម
spyware,Malware/Spyware
squad,ក្រុម
square,ការ៉េ
squirt,កាកសំណល់
squirting,ការកន្ត្រាក់
stability,ស្ថេរភាព
stable,ស្ថិរភាព
stack,ថយក្រោយ
stadium,ពហុកីឡដ្ឋាន
staff,បុគ្គលិក
staffing,ការជួលបុគ្គលិក
stage,ដំណាក់កាល
stages,ដំណាក់កាល
stainless,អ៊ីណុក
stake,ភាគហ៊ុន
stakeholders,អ្នកពាក់ព័ន្ធ
stamp,លំដាប់ទីមួយ
stamps,ត្រា
stan,សោភ័ណ
stand,ឈរ
standard,ស្តង់ដារ
standards,ស្តង់ដារ
standing,ឈរ
standings,ចំណាត់ថ្នាក់
stands,ឈរ
stanford,សាកលវិទ្យាល័យស្តានហ្វត
star,តារា
starring,កំពុងដើរតួ
stars,តារា
starsmerchant,ពាណិជ្ជករផ្កាយ
start,ចាប់ផ្តើម
started,បានចាប់ផ្តើម
starter,ចាប់ផ្តើម
starting,ចាប់ផ្តើម
starts,ចាប់ផ្តើម
startup,ស្តាតអាប់
stat,ចូលប្រើ
state,រដ្ឋ
stated,បានបញ្ជាក់
statement,សេចក្តីថ្លែងការណ៍
statements,សេចក្តីថ្លែងការណ៍
states,រដ្ឋ
statewide,ទូទាំងរដ្ឋ
static,ឋិតិវន្ត
stating,ក្នុងពេលវេលា
station,ស្ថានីយ៍
stationery,សម្ភារៈការិយាល័យ
stations,ស្ថានីយ៍
statistical,ស្ថិតិ
statistics,ស្ថិតិ
stats,ស្ថិតិ
status,ស្ថានភាព
statute,លក្ខន្ដិកៈ
statutes,លក្ខន្ដិកៈ
statutory,ច្បាប់
stay,ស្នាក់នៅ
stayed,នៅ
staying,ស្នាក់នៅ
stays,ស្នាក់នៅ
steady,ស្ថិរភាព
steal,លួច
steam,ចំហាយ
steel,ដែក
steering,ចង្កូត
stem,ដើម
step,ជំហាន
stephanie,ស្តេហ្វានីនីអេសស្ទីន
stephen,ស្តេហ្វិន
steps,ជំហាន
stereo,ស្តេរ៉េអូ
steve,ស្ទីវ
steven,ស្ទីវិន
stick,ដំបង
sticker,ស្ទីគ័រ
stickers,ស្ទីគ័រ
sticks,ដំបង
sticky,ស្អិត
still,នៅតែ
stock,ស្តុក
stockings,ស្រោមជើងកវែង
stocks,ស្តុក
stolen,លួច
stomach,ក្រពះ
stone,ថ្ម
stones,ថ្ម
stood,បានឈរ
stop,ឈប់
stopped,ឈប់
stopping,កំពុងបញ្ឈប់
stops,បញ្ឍប់
storage,ការផ្ទុក
store,ហាង
stored,រក្សាទុក
stores,ហាង
stories,រឿង
storm,ព្យុះ
story,រឿង
straight,ត្រង់
strain,ការរមួលសាច់ដុំ
strand,ខ្សែអក្សរ
strange,ចម្លែក
stranger,ជនចម្លែក
strap,ខ្សែ
strategic,យុទ្ធសាស្ត្រ
strategies,យុទ្ធសាស្ត្រ
strategy,យុទ្ធសាស្ត្រ
stream,ស្ទ្រីម
streaming,លំហូទិន្នន័យ
streams,ស្ទ្រីមរបស់ខ្ញុំ
street,ផ្លូវ
streets,ផ្លូវ
strength,កម្លាំង
strengthen,ពង្រឹង
strengthening,ពង្រឹង
strengths,ភាពខ្លាំង៖
stress,ភាពតានតឹង
stretch,លាត
strict,រឹងមាំ
strict,តឹងរឹង
strict,តឹងតែង
strictly,តឹងរ៉ឹង
strike,កូដកម្ម
strikes,ការធ្វើកូដកម្ម
striking,គួរឱ្យចាប់អារម្មណ៍
string,ខ្សែអក្សរ
strings,ខ្សែអក្សរ
strip,បន្ទះ
stripes,ឆ្នូត
strips,បន្ទះ
stroke,ជំងឺដាច់សរសៃឈាមខួរក្បាល
strong,ខ្លាំង
stronger,ខ្លាំងជាង
strongly,យ៉ាងខ្លាំង
struck,វាយ
struct,រចនាសម្ព័ន្ធ
structural,រចនាសម្ព័ន្ធ
structure,រចនាសម្ព័ន្ធ
structured,មានរចនាសម្ព័ន្ធ
structures,រចនាសម្ព័ន្ធ
struggle,ការតស៊ូ
stuck,ជាប់គាំង
student,សិស្ស
students,សិស្ស
studied,បានសិក្សា
studies,ការសិក្សា
studio,ស្ទូឌីយោ
studios,ស្ទូឌីយោ
study,ការសិក្សា
study,សិក្សា
study,រៀន
studying,កំពុងសិក្សា
stuff,វត្ថុ
stuffed,បំពេញ
stunning,គួរឱ្យភ្ញាក់ផ្អើល
stupid,ឆោតល្ងង់
style,រចនាប័ទ្ម
styles,រចនាប័ទ្ម
stylish,រចនាប័ទ្ម
sub,រង
subcommittee,អនុគណៈកម្មាធិការ
subdivision,អនុមន្ទីរ
subject,ប្រធានបទ
subjective,អត្តនោម័តិ
subjects,ប្រធានបទ
sublime,អស្ចារ្យ
submission,ការដាក់ស្នើ
submissions,ការដាក់
submit,ដាក់ស្នើ
submitted,បានដាក់ស្នើ
submitting,ដាក់
subscribe,ជាវ
subscriber,អ្នកជាវ
subscribers,អ្នកប្រើប្រាស់ប្រចាំខែ
subscription,ការជាវ
subscriptions,ការជាវ
subsection,ផ្នែករង
subsequent,ជាបន្តបន្ទាប់
subsequently,ពេលក្រោយៗ
subsidiaries,ក្រុមហ៊ុនបុត្រសម្ព័ន្ធ
subsidiary,ដែលកាន់កាប់ទាំងស្រុង
substance,សារធាតុ
substances,សារធាតុ
substantial,សំខាន់
substantially,ធ្ងន់ធ្ងរជាង
substitute,ជំនួស
subtle,ល្មម
suburban,ជាយក្រុង
succeed,បានជោគជ័យ
success,ជោគជ័យ
successful,ជោគជ័យ
successfully,ដោយជោគជ័យ
such,ដូចជា
suck,ជញ្ជក់
sucking,ការស្រូប
sucks,ជញ្ជក់
sudan,ស៊ូដង់
sudden,រំពេច
suddenly,ភ្លាមៗ
sue,ប្ដឹង
suffer,រងទុក្ខ
suffered,រងទុក្ខវេទនា
suffering,ការរងទុក្ខ
sufficient,គ្រប់គ្រាន់
sufficiently,គ្រប់គ្រាន់
sugar,ស្ករ
suggest,ស្នើ
suggested,បានណែនាំ
suggesting,ណែនាំ
suggestion,ការផ្តល់យោបល់
suggestions,សំណូមពរ
suggests,ណែនាំ
suicide,ការធ្វើអត្តឃាត
suit,ឈុត
suitable,សមរម្យ
suite,ឈុត
suited,សម
suites,ឈុត
suits,ឈុត
summaries,សេចក្ដីសង្ខេប
summary,សង្ខេប
summer,រដូវក្តៅ
summit,កិច្ចប្រជុំកំពូល
sunday,ថ្ងៃអាទិត្យ
sunglasses,វ៉ែនតាខ្មៅ
sunny,មានពន្លឺថ្ងៃ
sunrise,ព្រះអាទិត្យរះ
sunset,ថ្ងៃលិច
sunshine,ពន្លឺព្រះអាទិត្យ
super,អស្ចារ្យ
superb,អស្ចារ្យ
superintendent,អគ្គនាយក
superior,ឧត្តម
supervision,ការត្រួតពិនិត្យ
supervisor,អ្នកគ្រប់គ្រង
supervisors,អ្នកត្រួតពិនិត្យ
supplement,បន្ថែម
supplemental,បន្ថែម
supplements,អាហារបំប៉ន
supplied,ផ្គត់ផ្គង់
supplier,អ្នកផ្គត់ផ្គង់
suppliers,អ្នកផ្គត់ផ្គង់
supplies,ការផ្គត់ផ្គង់
supply,ការផ្គត់ផ្គង់
support,គាំទ្រ
support,ជំនួយ
supported,គាំទ្រ
supporters,អ្នកគាំទ្រ
supporting,គាំទ្រ
supports,គាំទ្រ
suppose,ឧបមា
supposed,សន្មត់
supreme,កំពូល
sure,ប្រាកដ
surely,ប្រាកដណាស់
surf,ជិះរលក(កីឡា)
surface,ផ្ទៃ
surfaces,ផ្ទៃ
surfing,កីឡាជិះរលក
surge,កើនឡើង
surgeon,គ្រូពេទ្យវះកាត់
surgeons,គ្រូពេទ្យវះកាត់
surgery,ការវះកាត់
surgical,ការវះកាត់
surname,គោត្តនាម
surplus,អតិរេកសាច់ប្រាក់
surprise,ភ្ញាក់ផ្អើល
surprised,ភ្ញាក់ផ្អើល
surprising,គួរឱ្យភ្ញាក់ផ្អើល
surround,ជុំវិញ
surrounded,ព័ទ្ធជុំវិញ
surrounding,ជុំវិញ
surveillance,ការឃ្លាំមើល
survey,ការស្ទង់មតិ
surveys,ការស្ទង់មតិ
survival,ការរស់រានមានជីវិត
survive,រស់រានមានជីវិត
survivor,អ្នករស់រានមានជីវិត
survivors,អ្នករស់រានមានជីវិត
susan,ស៊ូសាន
suspect,ជនសង្ស័យ
suspected,សង្ស័យ
suspended,បានផ្អាក
suspension,ការព្យួរ
sustainability,និរន្តរភាព
sustainable,និរន្តរភាព
sustained,មាននិរន្តរភាព
swap,ឆ្លាស់
swaziland,ស្វាស៊ីឡង់
sweden,ស៊ុយអែត
swedish,ស៊ុយអែត
sweet,ផ្អែម
swift,កូដSWIFT
swim,ហែលទឹក
swimming,ហែលទឹក
swing,យោល
swingers,ទោងយោល
swiss,ស្វីស
switch,ប្តូរ
switched,បានបើក
switches,កុងតាក់
switching,ការប្ដូរ
switzerland,ស្វីស
sword,ដាវ
sydney,ស៊ីដនី
symantec,ស៊ីម៉ាន់តិច
symbol,និមិត្តសញ្ញា
symbols,និមិត្តសញ្ញា
sympathy,ការអាណិតអាសូរ
symphony,មហោរី
symposium,សន្និសីទ
symptoms,រោគសញ្ញា
sync,ស័ងក្រូន
syndicate,កិច្ចការរួម
syndication,ការបង្រួម
syndrome,រោគសញ្ញា
synopsis,ខ្លឹមសារសង្ខេប
syntax,វាក្យសម្ព័ន្ធ
synthesis,ការសំយោគ
synthetic,សំយោគ
syria,ប្រទេសស៊ីរី
system,ប្រព័ន្ធ
systematic,ប្រព័ន្ធ
systems,ប្រព័ន្ធ
table,តារាង
tables,តារាង
tablet,ថេប្លិត
tablets,ថេប្លេត
tabs,ផ្ទាំង
tackle,ដោះស្រាយ
tactics,យុទ្ធវិធី
tail,កន្ទុយ
taiwan,តៃវ៉ាន់
take,យក
taken,បានយក
takes,យក
taking,ទទួលយក
tale,រឿង
talent,ទេពកោសល្យ
talented,ទេពកោសល្យ
tales,រឿងនិទាន
talk,និយាយ
talked,បាននិយាយ
talking,និយាយ
talks,ការពិភាក្សា
tall,កម្ពស់
tamil,ភាសាតាមីល
tampa,តាំប៉ា
tank,ធុង
tanks,រថក្រោះ
tanzania,តង់សានី
tap,ប៉ះចុច
tape,កាសែត
tapes,ស្កុត
target,គោលដៅ
targeted,គោលដៅ
targets,គោលដៅ
tariff,ថ្លៃឈ្នួល
task,ភារកិច្ច
tasks,កិច្ចការ
taste,រសជាតិ
tattoo,ស្នាមសាក់
taught,បង្រៀន
tax,ពន្ធ
taxation,ការបង់ពន្ធ
taxes,ពន្ធ
taxi,តាក់ស៊ី
tea,តែ
teach,បង្រៀន
teacher,គ្រូ
teachers,គ្រូបង្រៀន
teaches,បង្រៀន
teaching,ការបង្រៀន
team,ក្រុម
teams,ក្រុម
tear,ទឹកភ្នែក
tears,ទឹកភ្នែក
tech,បច្ចេកវិទ្យា
technical,បច្ចេកទេស
technician,អ្នកបច្ចេកទេស
technique,បច្ចេកទេស
techniques,បច្ចេកទេស
techno,តិចណូ
technological,ជាបច្ចេកវិទ្យា
technologies,បច្ចេកវិទ្យា
technology,បច្ចេកវិទ្យា
techrepublic,បច្ចេកវិទ្យាសាធារណៈ
teddy,តុក្កតាខ្លាឃ្មុំ
tee,អាវ
teen,វ័យជំទង់
teenage,វ័យជំទង់
teens,វ័យជំទង់
teeth,ធ្មេញ
tel,ទូរស័ព្ទ
telecharger,ឧបករណ៍ទាញយក
telecom,ទូរគមនាគមន៍
telecommunications,ទូរគមនាគមន៍
telephone,ទូរស័ព្ទ
telephony,ទូរសព្ទ
telescope,តេលេស្កូប
television,ទូរទស្សន៍
televisions,ទូរទស្សន៍
tell,ប្រាប់
telling,ប្រាប់
tells,ប្រាប់
temp,សីតុណ្ហភាព
temperature,សីតុណ្ហភាព
temperatures,សីតុណ្ហភាព
template,គំរូ
templates,គំរូ
temple,ប្រាសាទ
temporal,បណ្ដោះអាសន្ន
temporarily,បណ្តោះអាសន្ន
temporary,បណ្តោះអាសន្ន
ten,ដប់
tenant,ភាគីអ្នកជួល(ភតិកៈ)
tend,ទំនោរ
tennessee,រដ្ឋTennessee
tennis,កីឡាវាយកូនបាល់
tension,ភាពតានតឹង
tent,តង់
term,រយៈពេល
terminal,ស្ថានីយ
terminals,terminals
termination,បញ្ចប់
terminology,ពាក្យស័ព្ទ
terms,លក្ខខណ្ឌ
terrain,លក្ខណៈភូមិសាស្ត្រ
terrible,យ៉ាប់
territories,ដែនដី
territory,ទឹកដី
terror,ភេរវកម្ម
terrorism,ភេរវកម្ម
terrorist,ភេរវករ
terrorists,ភេរវករ
terry,ធារី
test,តេស្ត
testament,មរតក
tested,សាកល្បង
testimonials,ទីបន្ទាល់
testimony,សក្ខីកម្ម
testing,ការធ្វើតេស្ត
tests,តេស្ត
texas,រដ្ឋតិចសាស់
text,អត្ថបទ
textbook,សៀវភៅសិក្សា
textbooks,សៀវភៅសិក្សា
textile,ក្រណាត់
textiles,វាយនភ័ណ្ឌ
texts,អត្ថបទ
texture,វាយនភាព
thai,ថៃ
thailand,ប្រទេសថៃ
thank,អរគុណ
thanks,អរគុណ
thanksgiving,បុណ្យថ្លែងអំណរគុណ
that,ដែល
that,ដែល
theater,ល្ខោន
theaters,រោងភាពយន្ត
theatre,ល្ខោន
theft,ចោរកម្ម
thehun,ធួន
their,របស់ពួកគេ
them,ពួកគេ
theme,ប្រធានបទ
themes,ពួកគេ
themselves,ខ្លួនគេ
then,បន្ទាប់
theology,ទ្រឹស្តី
theorem,ទ្រឹស្តីបទ
theoretical,ទ្រឹស្តី
theories,ទ្រឹស្តី
theory,ទ្រឹស្តី
therapeutic,ការព្យាបាល
therapist,អ្នកព្យាបាលរោគ
therapy,ការព្យាបាល
there,នៅទីនោះ
thereafter,បន្ទាប់ពីនោះ
thereby,ដូច្នេះ
therefore,ដូច្នេះ
thereof,របស់វា
thermal,កម្ដៅ
thesaurus,កម្រងវេវចនសព្ទ
these,ទាំងនេះ
thesis,និក្ខេបបទ
theta,θ
theta,Θ
they,ពួកគេ
thick,ក្រាស់
thickness,កម្រាស់
thin,ស្តើង
thing,រឿង
things,របស់
think,គិត
thinking,ការគិត
thinkpad,កម្រងគំនិត
thinks,គិត
third,ទីបី
thirty,សាមសិប
this,នេះ
thomas,ថូម៉ាស
thompson,ថមសុន
thomson,ថមសុន
thorough,លម្អិត
thoroughly,យ៉ាងហ្មត់ចត់
those,ទាំងនោះ
thou,អ្នក
though,ទោះបីជា
thought,គំនិត
thoughts,គំនិត
thousand,ពាន់
thousands,រាប់ពាន់
thread,ខ្សែស្រឡាយ
threaded,ប៊ូឡុងវីសខ្ចៅ
threads,ខ្សែស្រឡាយ
threat,ការគំរាមកំហែង
threatened,មានការគំរាមកំហែង
threatening,គំរាមកំហែង
threats,ការគំរាមកំហែង
three,បី
threesome,បី
threshold,កម្រិតពន្លឺ
thriller,រន្ធត់
throat,បំពង់ក
through,តាមរយៈ
throughout,នៅទូទាំង
throw,បោះ
throwing,បោះចោល
thrown,បោះចោល
throws,បោះ
thumb,មេដៃ
thumbnail,រូបភាពតូច
thumbnails,កូនរូបភាព
thumbs,មេដៃ
thumbzilla,
thunder,ផ្គររន្ទះ
thursday,ថ្ងៃព្រហស្បតិ៍
thus,ដូច្នេះ
thy,របស់អ្នក
ticket,សំបុត្រ
tickets,សំបុត្រ
tide,រលក
tie,ចង
tied,បានចង
tier,លំដាប់ថ្នាក់
ties,ចំណង
tiffany,ធីហ្វានី
tiger,ខ្លា
tigers,ខ្លា
tight,តឹង
til,រហូតដល់
tile,ក្រឡាក្បឿងkajongg
tiles,ក្រឡា
till,រហូតដល់
timber,ឈើ
time,ពេលវេលា
timeline,បន្ទាត់ពេលវាលា
timely,ទាន់ពេលវេលា
timer,កម្មវិធីកំណត់ពេលវេលា
times,ដង
timing,ពេលវេលា
timothy,ធីម៉ូថេ
tin,សំណប៉ាហាំង
tiny,តូច
tion,រឿង
tions,កិច្ចការ
tip,ព័ត៌មានជំនួយ
tips,គន្លឹះ
tire,សម្បកកង់
tired,នឿយហត់
tires,សំបកកង់
tissue,ជាលិកា
tit,ទីត
titanium,ទីតានីញ៉ូម
titans,ទីតាន
title,ចំណងជើង
titled,ចំណងជើង
titles,ចំណងជើង
tits,ក្បាលសុដន់
titten,ទីថេន
tmp,បណ្ដោះអាសន្ន
tobacco,ថ្នាំជក់
tobago,ទ្រីនីដាដនិងតូបាហ្គោ
today,ថ្ងៃនេះ
toddler,កូនក្មេង
toe,ម្រាមជើង
together,ជាមួយគ្នា
toilet,បង្គន់
token,សញ្ញាសម្ងាត់
tokyo,តូក្យូ
told,បានប្រាប់
tolerance,ភាពស្រដៀងគ្នា
toll,ថ្លៃឈ្នួល
tomato,ប៉េងប៉ោះ
tomatoes,ប៉េងប៉ោះ
tommy,ថមមី
tomorrow,ថ្ងៃស្អែក
ton,តោន
tone,សម្លេង
tones,សម្លេង
tongue,អណ្តាត
tonight,យប់នេះ
tons,ណឺត្រុង
took,បានយក
tool,ឧបករណ៍
toolbar,របារឧបករណ៍
toolbox,ប្រអប់ឧបករណ៍
toolkit,កញ្ចប់ឧបករណ៍
tools,ឧបករណ៍
tooth,ធ្មេញ
top,លើស
topic,ប្រធានបទ
topics,ប្រធានបទ
topless,ដែលគ្មានអាវ
tops,លើស
toronto,តូរ៉ុនតូ
torture,ការធ្វើទារុណកម្ម
toshiba,តូស៊ីបា
total,សរុប
totally,ទាំងស្រុង
totals,សរុប
touch,ប៉ះ
touched,ប៉ះ
tough,តឹង
tour,ដំណើរកំសាន្ត
touring,ដំណើរកម្សាន្ត៖
tourism,ទេសចរណ៍
tourist,អ្នកទេសចរ
tournament,ការប្រកួត
tournaments,ការប្រកួត
tours,ដំណើរកំសាន្ត
toward,ឆ្ពោះទៅរក
towards,ឆ្ពោះទៅរក
tower,ប៉ម
towers,បន្ទាយ
town,ទីក្រុង
towns,ទីប្រជុំជន
township,ទីប្រជុំជន
toxic,ពុល
toy,ប្រដាប់ក្មេងលេង
toyota,តូយ៉ូតា
toys,ប្រដាប់ក្មេងលេង
trace,ដាន
track,បទ
trackback,តាមដាន
trackbacks,ការតាមដាន
tracked,បានតាមដាន
tracker,កម្មវិធីតាមដាន
tracking,ការតាមដាន
tracks,បទ
tract,ក្រដាស
tractor,ត្រាក់ទ័រ
tracy,ត្រាស៊ី
trade,ពាណិជ្ជកម្ម
trademark,ពាណិជ្ជសញ្ញា
trademarks,ពាណិជ្ជសញ្ញា
trader,ពាណិជ្ជករ
trades,ការជួញដូរខាតបង់
trading,ការជួញដូរ
tradition,ប្រពៃណី
traditional,ប្រពៃណី
traditions,ទំនៀមទម្លាប់
traffic,ចរាចរណ៍
tragedy,សោកនាដកម្ម
trail,ផ្លូវលំ
trailer,ឈុតខ្លីៗ
trailers,ភាពយន្ត
trails,ផ្លូវ
train,រថភ្លើង
trained,បានបណ្តុះបណ្តាល
trainer,គ្រូឧទ្ទេស
trainers,គ្រូបណ្តុះបណ្តាល
training,ការបណ្តុះបណ្តាល
trains,រថភ្លើង
tramadol,ថ្នាំTramadol
trance,អណ្ដែតអណ្ដូង
tranny,
trans,ឆ្លង
transaction,ប្រតិបត្តិការ
transactions,ប្រតិបត្តិការ
transcript,ប្រតិចារិក
transcription,ប្រតិចារិក
transcripts,ប្រតិចារិក
transfer,ផ្ទេរ
transferred,បានផ្ទេរ
transfers,ការផ្ទេរ
transform,ប្លែង
transformation,ការផ្លាស់ប្តូរ
transit,ឆ្លងកាត់
transition,ការផ្លាស់ប្តូរ
translate,បកប្រែ
translated,បកប្រែ
translation,ការបកប្រែ
translations,ការបកប្រែផ្សេងៗ
translator,អ្នកបកប្រែ
transmission,ការបញ្ជូន
transmit,បញ្ជូន
transmitted,បានបញ្ជូន
transparency,តម្លាភាព
transparent,ភាពថ្លា
transport,ដឹកជញ្ជូន
transportation,ការដឹកជញ្ជូន
transsexual,អ្នកប្តូរភេទ
trap,អន្ទាក់
trash,សំរាម
trauma,របួសប៉ះទង្គិច
travel,ធ្វើដំណើរ
traveler,អ្នកធ្វើដំណើរ
travelers,អ្នកដំណើរ
traveling,ការធ្វើដំណើរ
traveller,អ្នកធ្វើដំណើរ
travelling,ការធ្វើដំណើរ
travels,ធ្វើដំណើរ
travesti,ការធ្វើដំណើរ
tray,ថាស
treasure,កំណប់
treasurer,អគ្គហេរញ្ញិក
treasures,កំណប់ទ្រព្យ
treasury,រតនាគារ
treat,ព្យាបាល
treated,ព្យាបាល
treating,ការព្យាបាល
treatment,ការព្យាបាល
treatments,ការព្យាបាល
treaty,សន្ធិសញ្ញា
tree,ដើមឈើ
trees,ដើមឈើ
trek,ការដើរ
trembl,ញ័រ
tremendous,អស្ចារ្យ
trend,និន្នាការ
trends,និន្នាការ
trial,ការសាកល្បង
trials,ការសាកល្បង
triangle,ត្រីកោណ
tribal,កុលសម្ព័ន្ធ
tribe,កុលសម្ព័ន្ធ
tribes,កុលសម្ព័ន្ធ
tribunal,វេទិកាមជ្ឈត្តកម្ម
tribune,វេទិកាមជ្ឈត្តកម្ម
tribute,ការកោតសរសើរ
trick,ល្បិច
tricks,ល្បិច
tried,ព្យាយាម
tries,ព្យាយាម
trigger,គន្លឹះ
trim,កាត់តម្រឹម
trinity,ត្រីកោណ
trio,ត្រីកោណ
trip,ដំណើរកំសាន្ត
tripadvisor,tripadvisor
triple,បីដង
trips,ដំណើរកំសាន្ត
triumph,ជ័យជំនះ
troops,កងទ័ព
tropical,ត្រូពិច
trouble,បញ្ហា
troubleshooting,ការដោះស្រាយបញ្ហា
trout,ត្រីស្រដៀងត្រីព្រួល
truck,ឡានដឹកទំនិញ
trucks,ឡានដឹកទំនិញ
true,ពិត
truly,ពិត
trunk,ដើម
trust,ទុកចិត្ត
trusted,ជឿទុកចិត្ត
trustee,អភិបាល
trustees,អ្នកគ្រប់គ្រង
trusts,ទំនុកចិត្ត
truth,ការពិត
try,ព្យាយាម
trying,ព្យាយាម
tsunami,រលកយក្សស៊ូណាមិ
tube,បំពង់
tubes,បំពង់
tuesday,ថ្ងៃអង្គារ
tuition,ថ្លៃសិក្សា
tumor,ដុំសាច់
tune,បទភ្លេង
tuner,ឧបករណ៍លៃតម្រូវ
tunes,បទភ្លេង
tuning,ការបើក
tunisia,ទុយនីស៊ី
tunnel,ផ្លូវរូង
turbo,ទួរប៊ីន
turkey,ទួរគី
turkish,ទួរគី
turn,វេន
turned,ប្រែក្លាយ
turner,ឧបករណ៍បង្វិល
turning,ងាក
turns,វេន
turtle,សត្វអណ្តើក
tutorial,ការបង្រៀន
tutorials,ការបង្រៀន
tv,ទូរទស្សន៍
twelve,ដប់ពីរ
twenty,ម្ភៃ
twice,ពីរដង
twiki,វីគី
twin,ភ្លោះ
twinks,កូនភ្លោះ
twins,កូនភ្លោះ
twist,បង្វិល
twisted,រមួល
twisted,កំពីកកំពក
two,ពីរ
type,ប្រភេទ
type,វាយ
typical,ធម្មតា
typically,ជាធម្មតា
typing,វាយបញ្ចូល
uganda,អ៊ូហ្កង់ដា
ugly,អាក្រក់
ui,ចំណុចប្រទាក់អ្នកប្រើ
ui,UI
uk,ចក្រភពអង់គ្លេស
ukraine,អ៊ុយក្រែន
ultimate,ចុងក្រោយ
ultimately,ទីបំផុត
ultra,ជ្រុល
ultram,ultram
unable,មិនអាច
unauthorized,គ្មានការអនុញ្ញាត
unavailable,មិនមាន
uncertainty,ភាពមិនប្រាកដប្រជា៖
uncle,លោកពូ
undefined,មិនបានកំណត់
under,ក្រោម
undergraduate,បរិញ្ញាបត្រ
underground,ក្រោមដី
underlying,មូលដ្ឋាន
understand,យល់
understanding,ការយល់ដឹង
understood,យល់
undertake,យល់ព្រម
undertaken,បានអនុវត្ត
underwear,ខោទ្រនាប់
undo,មិនធ្វើវិញ
unemployment,ភាពអត់ការងារធ្វើ
unexpected,តួអក្សរដែលមិនរំពឹង
unfortunately,ជាអកុសល
unified,បង្រួបបង្រួម
uniform,ឯកសណ្ឋាន
union,សហជីព
unions,ប្រជុំ
uniprotkb,
unique,ប្លែក
unit,ឯកតា
united,សហ
units,ឯកតា
unity,យូនីធី
univ,មហាវិទ្យាល័យ
univ,សាកលវិទ្យាល័យ
universal,សកល
universe,សកលលោក
universities,សាកលវិទ្យាល័យ
university,សាកលវិទ្យាល័យ
unix,យូនីក
unknown,មិនស្គាល់
unless,លុះត្រាតែ
unlike,មិនដូច
unlikely,មិនទំនង
unlimited,គ្មានដែនកំណត់
unlock,ដោះសោ
unnecessary,មិនចាំបាច់
unsigned,មិនបានចុះហត្ថលេខា
unsubscribe,ឈប់ជាវ
until,រហូតដល់
untitled,គ្មានចំណងជើង
unto,ទៅកាន់
unusual,មិនធម្មតា
unwrap,ស្រាយ
up,ឡើង
upcoming,នាពេលខាងមុខ
update,ធ្វើបច្ចុប្បន្នភាព
updated,បានធ្វើបច្ចុប្បន្នភាព
updates,បច្ចុប្បន្នភាព
updating,ការធ្វើឲ្យទាន់សម័យ
upgrade,ធ្វើឱ្យប្រសើរឡើង
upgrades,អាប់ក្រេត
upgrading,កំពុងអាប់ក្រេត
upload,ផ្ទុកឡើង
uploaded,បានផ្ទុកឡើង
upon,លើ
upper,ខាងលើ
upset,រកាំចិត្ត
upskirt,អាវទ្រនាប់
upskirts,ទីក្រុងខាងលើ
urban,ទីក្រុង
urge,ជំរុញ
urgent,បន្ទាន់
url,Url
urls,URLs
uruguay,អ៊ុយរូហ្កាយ
usa,សហរដ្ឋអាមេរិក
usage,ការប្រើប្រាស់
usb,យូអេសប៊ី
usd,USD
use,ប្រើ
used,បានប្រើ
useful,មានប្រយោជន៍
user,អ្នកប្រើ
username,ឈ្មោះអ្នកប្រើប្រាស់
users,អ្នកប្រើ
uses,ប្រើ
using,កំពុងប្រើ
usual,ធម្មតា
usually,ជាធម្មតា
utah,យូថាហ៍
utilities,ឧបករណ៍ប្រើប្រាស់
utility,ឧបករណ៍ប្រើប្រាស់
utilization,ការប្រើប្រាស់
utilize,ប្រើប្រាស់
utils,ឧបករណ៍ប្រើប្រាស់
uzbekistan,អ៊ូសបេគីស្ថាន
vacancies,កន្លែងទំនេរ
vacation,វិស្សមកាល
vacations,វិស្សមកាល
vaccine,វ៉ាក់សាំង
vacuum,ទំនេរ
vagina,ទ្វារមាស
val,វ៉ាល់
valentine,ក្តីស្រឡាញ់
valid,ត្រឹមត្រូវ
validation,ការធ្វើឲ្យមានសុពលភាព
validity,ភាពត្រឹមត្រូវ
valium,តម្លៃ
valley,ជ្រលងភ្នំ
valuable,មានតម្លៃ
valuation,ការវាយតម្លៃ
value,តម្លៃ
valued,មានតម្លៃ
values,តម្លៃ
valve,សន្ទះបិទបើក
valves,វ៉ាល់
vampire,ខ្មោចឆៅ
van,ឡាន
